username,created_at_as_str,uri,api,unique_resource_name,unique_resource_id
dreamer13_53,2022-06-03 17:31:13.142229,/task-page/14/4/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 4 | Title - The Power of Caring Community-Day 1,TaskMap|185
adityan_47,2022-06-03 17:31:32.058171,/,ACCESSED DASHBOARD,NONE,NONE
adityan_47,2022-06-03 17:33:04.838210,/situation/14/1/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 1 | Title - College Life Crisis exploration-Day 1,TaskMap|182
adityan_47,2022-06-03 17:33:04.974685,/task-page/14/1/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 1 | Title - College Life Crisis exploration-Day 1,TaskMap|182
dreamer44_39,2022-06-03 17:33:33.810754,/,ACCESSED DASHBOARD,NONE,NONE
dreamer44_39,2022-06-03 17:33:42.587602,/situation/14/4/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 4 | Title - The Power of Caring Community-Day 1,TaskMap|185
dreamer44_39,2022-06-03 17:33:42.876617,/task-page/14/4/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 4 | Title - The Power of Caring Community-Day 1,TaskMap|185
dreamer13_53,2022-06-03 17:34:34.967600,/task-page/14/4/2,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 4 | Title - The Power of Caring Community-Day 2,TaskMap|195
dreamer13_53,2022-06-03 17:34:37.799298,/,ACCESSED DASHBOARD,NONE,NONE
dreamer13_53,2022-06-03 17:34:44.110605,/situation/14/5/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 5 | Title - Fearless Personality Curation-Day 1,TaskMap|230
dreamer13_53,2022-06-03 17:34:44.450375,/task-page/14/5/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 5 | Title - Fearless Personality Curation-Day 1,TaskMap|230
